sku,fssai_id,license_type,expiry_date,coa_present,label_approved
SKU01741,FSSAI794939,State,2026-12-29,1,1
SKU00655,FSSAI218124,State,2027-03-12,1,1
SKU00015,FSSAI845777,State,2026-09-07,0,0
SKU01884,FSSAI490583,State,2026-02-06,1,1
SKU00532,FSSAI664476,Central,2025-07-10,1,1
SKU00578,FSSAI261117,None,2025-10-14,1,1
SKU00059,FSSAI556592,Central,2027-05-13,1,0
SKU01495,FSSAI669838,Central,2026-06-04,0,1
SKU00955,FSSAI537420,State,2026-07-07,1,1
SKU00703,FSSAI661811,State,2026-09-28,0,1
SKU01938,FSSAI623767,State,2026-06-20,1,0
SKU01736,FSSAI520964,State,2025-09-01,0,1
SKU01434,FSSAI412427,Central,2026-09-22,1,1
SKU00959,FSSAI108845,State,2025-05-01,0,1
SKU00155,FSSAI209032,State,2025-05-04,0,1
SKU01900,FSSAI900667,None,2026-08-25,1,1
SKU00786,FSSAI711161,Central,2026-06-04,1,1
SKU00478,FSSAI215065,State,2025-03-08,0,1
SKU01162,FSSAI656624,State,2026-06-26,0,1
SKU01637,FSSAI442587,Central,2025-10-14,1,1
SKU00041,FSSAI374877,State,2025-04-06,1,1
SKU01401,FSSAI683293,State,2026-06-09,1,1
SKU00457,FSSAI663330,State,2025-12-26,0,1
SKU00758,FSSAI161328,State,2026-06-15,1,1
SKU00610,FSSAI508381,Central,2026-12-30,1,1
SKU01831,FSSAI424328,None,2025-07-04,0,1
SKU00896,FSSAI420439,State,2025-09-18,1,1
SKU00144,FSSAI886512,State,2025-02-23,1,1
SKU00566,FSSAI240053,State,2026-05-31,1,1
SKU00527,FSSAI977838,None,2026-03-31,1,1
SKU01864,FSSAI977469,Central,2025-04-26,1,1
SKU00269,FSSAI806445,State,2025-01-07,1,1
SKU01072,FSSAI101006,None,2026-09-23,1,1
SKU00279,FSSAI144648,None,2025-01-05,1,1
SKU01717,FSSAI933211,State,2026-02-18,1,1
SKU00130,FSSAI507127,State,2026-09-14,1,0
SKU00783,FSSAI286291,State,2025-04-27,1,1
SKU00037,FSSAI697706,State,2026-11-19,1,1
SKU00636,FSSAI626884,None,2026-02-12,1,1
SKU01828,FSSAI622010,State,2025-02-20,1,1
SKU00959,FSSAI563726,State,2027-03-23,1,1
SKU00253,FSSAI769286,State,2025-08-05,1,1
SKU01431,FSSAI649891,None,2027-02-20,0,1
SKU00612,FSSAI603779,Central,2026-06-14,1,1
SKU00884,FSSAI356431,State,2025-03-10,1,1
SKU01511,FSSAI972319,Central,2026-06-04,0,1
SKU00974,FSSAI428915,None,2026-08-06,1,0
SKU00571,FSSAI646078,State,2025-11-11,1,1
SKU00605,FSSAI443190,State,2026-11-28,1,0
SKU01464,FSSAI913630,State,2026-02-07,1,1
SKU01021,FSSAI872537,Central,2026-09-17,1,1
SKU00078,FSSAI506550,None,2025-07-27,1,1
SKU01591,FSSAI768787,None,2027-05-04,1,1
SKU01476,FSSAI521240,State,2025-08-18,0,1
SKU00406,FSSAI395456,State,2026-08-18,1,0
SKU00479,FSSAI518691,State,2027-04-20,0,1
SKU00720,FSSAI885314,State,2026-07-30,1,1
SKU00746,FSSAI425889,State,2026-04-11,1,1
SKU00284,FSSAI912720,State,2025-07-09,1,0
SKU00817,FSSAI881562,State,2025-11-20,1,1
SKU01841,FSSAI224520,State,2025-03-30,1,1
SKU00451,FSSAI724734,Central,2026-10-22,1,1
SKU00488,FSSAI556491,State,2026-05-15,1,1
SKU01124,FSSAI859400,Central,2025-08-19,1,1
SKU00001,FSSAI235582,State,2027-05-10,1,1
SKU00869,FSSAI328287,State,2026-10-19,1,1
SKU01476,FSSAI410582,State,2027-03-04,1,1
SKU01621,FSSAI790491,State,2025-12-11,1,1
SKU00340,FSSAI289050,State,2027-03-14,1,1
SKU00663,FSSAI217223,None,2026-02-05,0,1
SKU00627,FSSAI740171,State,2025-09-13,1,0
SKU01713,FSSAI247754,State,2027-03-11,0,1
SKU00617,FSSAI849584,State,2027-03-06,0,1
SKU01942,FSSAI557303,None,2025-09-28,1,1
SKU00971,FSSAI947944,Central,2026-08-07,1,1
SKU01915,FSSAI251865,State,2027-05-21,1,1
SKU01911,FSSAI287743,State,2026-01-15,1,1
SKU01448,FSSAI178751,State,2025-06-11,1,1
SKU01229,FSSAI302698,Central,2026-01-29,1,1
SKU00789,FSSAI291912,None,2025-10-27,1,1
SKU00845,FSSAI117938,Central,2025-05-06,0,1
SKU01813,FSSAI420484,State,2026-05-13,1,1
SKU01027,FSSAI823703,State,2025-07-15,1,1
SKU00659,FSSAI167070,State,2026-12-15,1,0
SKU00595,FSSAI147680,State,2027-01-06,1,1
SKU01032,FSSAI398133,None,2026-03-23,1,1
SKU01295,FSSAI271017,State,2025-11-07,1,1
SKU01373,FSSAI741449,Central,2025-02-23,1,0
SKU00556,FSSAI365222,State,2025-10-23,1,1
SKU01723,FSSAI657734,State,2025-10-02,1,1
SKU01529,FSSAI327497,State,2025-04-08,1,1
SKU00519,FSSAI934496,Central,2026-08-26,1,1
SKU01205,FSSAI218245,State,2025-05-20,1,1
SKU01229,FSSAI395074,State,2026-09-30,1,1
SKU00616,FSSAI868332,None,2026-01-19,1,1
SKU01547,FSSAI609185,Central,2026-09-05,1,1
SKU01879,FSSAI635906,Central,2025-05-18,1,1
SKU01129,FSSAI695960,None,2026-07-16,1,1
SKU00804,FSSAI910009,Central,2025-06-22,1,1
SKU00135,FSSAI834021,None,2025-12-09,1,1
SKU00056,FSSAI217353,State,2026-04-05,1,1
SKU00308,FSSAI194421,None,2026-09-02,0,1
SKU00642,FSSAI593941,State,2025-01-31,0,1
SKU00392,FSSAI744871,State,2026-06-27,1,1
SKU01726,FSSAI568203,Central,2026-04-19,1,1
SKU01231,FSSAI260876,State,2026-11-17,1,1
SKU00341,FSSAI965476,Central,2025-04-15,1,1
SKU01763,FSSAI897286,State,2026-03-06,1,1
SKU01782,FSSAI525985,None,2025-07-25,1,1
SKU01857,FSSAI716696,State,2026-06-20,1,1
SKU00856,FSSAI739013,State,2027-06-15,1,1
SKU00766,FSSAI722918,None,2027-04-07,1,1
SKU01856,FSSAI742741,State,2026-05-21,1,1
SKU01335,FSSAI391173,Central,2026-09-19,1,0
SKU01170,FSSAI703316,State,2025-09-05,1,1
SKU01069,FSSAI824203,State,2027-02-05,0,1
SKU00113,FSSAI652438,State,2025-08-16,0,1
SKU01845,FSSAI201224,State,2025-04-27,1,1
SKU01245,FSSAI783344,Central,2025-09-05,1,1
SKU00849,FSSAI268698,Central,2026-12-11,1,1
SKU01681,FSSAI638640,Central,2025-03-26,1,1
SKU00353,FSSAI832230,State,2027-01-06,0,1
SKU00556,FSSAI308837,Central,2026-12-02,1,1
SKU00198,FSSAI216280,State,2026-09-28,1,1
SKU00887,FSSAI871076,State,2025-08-12,1,0
SKU00483,FSSAI676247,State,2027-05-15,1,1
SKU01072,FSSAI120869,Central,2026-12-06,1,1
SKU01607,FSSAI159782,State,2025-08-09,1,1
SKU01570,FSSAI329994,State,2026-02-19,1,1
SKU00466,FSSAI552975,State,2025-05-04,1,1
SKU00993,FSSAI542759,State,2026-12-11,0,1
SKU00162,FSSAI529728,State,2026-03-21,1,1
SKU01363,FSSAI121953,None,2026-06-17,1,1
SKU00666,FSSAI873325,Central,2026-02-03,1,1
SKU00485,FSSAI821618,State,2025-07-25,1,1
SKU00329,FSSAI881321,State,2025-09-13,1,0
SKU01743,FSSAI276256,State,2025-05-05,1,0
SKU00988,FSSAI840536,None,2025-06-16,1,1
SKU01088,FSSAI102234,Central,2026-09-27,1,1
SKU00057,FSSAI165418,State,2027-04-06,0,1
SKU00391,FSSAI105644,State,2025-08-18,1,1
SKU00779,FSSAI464731,State,2026-05-13,1,1
SKU01620,FSSAI306263,Central,2025-10-18,1,0
SKU00414,FSSAI884330,State,2026-01-15,1,1
SKU01521,FSSAI269128,Central,2026-12-21,1,0
SKU00211,FSSAI665435,State,2026-06-27,0,1
SKU00428,FSSAI453014,State,2025-11-16,1,1
SKU00269,FSSAI302785,State,2025-03-20,1,1
SKU00095,FSSAI670395,State,2026-05-30,1,1
SKU00906,FSSAI515267,State,2027-04-13,1,1
SKU00344,FSSAI297711,Central,2025-03-19,1,1
SKU00472,FSSAI201042,State,2026-04-14,1,1
SKU01751,FSSAI104035,None,2026-01-02,1,1
SKU00314,FSSAI437395,State,2026-09-11,1,1
SKU00414,FSSAI762499,State,2026-03-21,1,1
SKU01619,FSSAI148667,State,2025-12-12,0,1
SKU00786,FSSAI442504,State,2025-03-05,1,1
SKU00987,FSSAI948940,Central,2026-02-19,0,1
SKU00324,FSSAI288177,Central,2026-03-08,1,1
SKU00211,FSSAI383275,None,2026-07-17,0,1
SKU00018,FSSAI356137,State,2027-05-14,0,1
SKU00667,FSSAI655179,State,2026-02-17,1,0
SKU00215,FSSAI346355,State,2027-04-17,1,1
SKU01692,FSSAI676542,State,2026-04-15,1,1
SKU00729,FSSAI844262,State,2025-04-02,1,1
SKU00518,FSSAI102003,State,2025-06-21,1,0
SKU01773,FSSAI472536,State,2025-09-24,0,1
SKU00972,FSSAI680020,State,2025-08-31,1,1
SKU01521,FSSAI822586,State,2027-05-11,1,1
SKU00929,FSSAI269700,State,2025-02-03,1,0
SKU01181,FSSAI538231,Central,2025-06-25,0,1
SKU01266,FSSAI983374,State,2025-12-08,1,0
SKU00556,FSSAI949678,State,2026-12-12,0,1
SKU01466,FSSAI745864,State,2026-02-21,1,1
SKU01035,FSSAI279218,Central,2026-04-14,1,1
SKU01961,FSSAI792044,State,2025-06-11,1,1
SKU01328,FSSAI916162,None,2026-09-10,0,1
SKU00222,FSSAI691979,None,2026-06-13,1,1
SKU01540,FSSAI904579,State,2026-08-14,1,1
SKU01342,FSSAI741167,State,2026-08-10,1,1
SKU01826,FSSAI165481,Central,2025-01-26,1,1
SKU01036,FSSAI162538,None,2025-10-27,1,0
SKU00549,FSSAI573014,State,2025-05-12,1,1
SKU01322,FSSAI517446,None,2025-10-11,1,1
SKU01390,FSSAI659920,Central,2026-04-28,1,1
SKU00246,FSSAI831388,Central,2027-01-15,0,0
SKU00072,FSSAI553189,None,2026-10-10,1,1
SKU00385,FSSAI271981,State,2026-02-07,1,1
SKU00647,FSSAI962595,State,2025-12-26,1,1
SKU00866,FSSAI579606,Central,2025-10-27,0,1
SKU00439,FSSAI893023,State,2027-05-24,1,1
SKU01287,FSSAI557334,None,2026-04-04,1,1
SKU00587,FSSAI355921,State,2026-12-19,1,1
SKU01676,FSSAI999462,Central,2026-08-31,1,0
SKU00890,FSSAI338171,Central,2026-12-17,1,1
SKU00695,FSSAI285923,State,2026-10-10,1,1
SKU01566,FSSAI984826,None,2026-05-17,0,0
SKU01842,FSSAI682809,None,2026-06-20,1,1
SKU01852,FSSAI316855,State,2025-08-24,1,1
SKU01618,FSSAI625967,State,2025-01-13,1,1
SKU00464,FSSAI739016,State,2025-01-26,1,1
SKU00787,FSSAI504083,None,2026-05-08,0,0
SKU01844,FSSAI805875,Central,2026-01-17,0,1
SKU01979,FSSAI927959,Central,2027-04-11,1,1
SKU00044,FSSAI313748,State,2026-09-20,1,1
SKU01262,FSSAI324909,State,2026-10-10,1,1
SKU00987,FSSAI954125,State,2026-04-12,1,1
SKU01582,FSSAI607146,State,2026-04-01,1,1
SKU00336,FSSAI527304,Central,2026-01-22,1,1
SKU00494,FSSAI883269,Central,2025-08-23,0,1
SKU01686,FSSAI187348,State,2025-09-25,1,1
SKU01259,FSSAI630221,None,2025-05-28,1,1
SKU00826,FSSAI452554,State,2026-12-26,1,1
SKU00948,FSSAI765845,State,2027-04-27,1,1
SKU00836,FSSAI219584,State,2025-03-09,1,1
SKU01415,FSSAI761762,State,2026-03-12,0,1
SKU00943,FSSAI668675,Central,2025-04-20,1,1
SKU00752,FSSAI950736,None,2025-05-15,1,1
SKU01821,FSSAI886476,State,2026-09-24,1,1
SKU00594,FSSAI967331,Central,2025-10-08,1,1
SKU00447,FSSAI905268,None,2026-11-27,1,1
SKU00090,FSSAI522041,Central,2025-06-20,1,1
SKU00872,FSSAI285632,Central,2026-02-07,1,1
SKU01362,FSSAI516965,State,2025-04-11,1,1
SKU00663,FSSAI576971,None,2025-01-19,1,1
SKU00043,FSSAI209843,Central,2025-03-27,1,1
SKU00944,FSSAI359870,Central,2026-07-23,1,1
SKU00185,FSSAI555138,Central,2025-06-15,0,1
SKU01862,FSSAI678971,State,2026-01-18,1,1
SKU00363,FSSAI419504,None,2025-04-27,1,1
SKU00102,FSSAI914713,Central,2026-08-29,1,1
SKU01221,FSSAI213938,None,2027-03-16,0,1
SKU00898,FSSAI100860,Central,2025-01-17,1,1
SKU00678,FSSAI177998,State,2025-04-22,1,1
SKU00024,FSSAI299095,None,2025-03-25,1,1
SKU00869,FSSAI262584,State,2026-03-10,1,1
SKU01433,FSSAI796069,State,2026-06-01,1,1
SKU01655,FSSAI630413,State,2025-12-24,1,1
SKU01795,FSSAI929530,None,2026-11-29,1,1
SKU00419,FSSAI264470,State,2026-09-15,0,1
SKU01489,FSSAI310894,State,2026-03-17,1,0
SKU00614,FSSAI336568,State,2026-02-12,1,1
SKU01927,FSSAI851720,State,2026-06-12,1,1
SKU00867,FSSAI738345,None,2026-01-02,0,1
SKU00399,FSSAI259755,None,2025-07-18,1,0
SKU00968,FSSAI203965,Central,2025-12-07,1,1
SKU01870,FSSAI805719,Central,2027-03-08,1,0
SKU01725,FSSAI666822,State,2025-10-13,1,1
SKU01706,FSSAI990396,State,2026-11-13,0,1
SKU01874,FSSAI632783,State,2026-01-08,1,1
SKU00007,FSSAI866603,State,2025-08-19,1,1
SKU01886,FSSAI334677,Central,2026-03-31,1,1
SKU01873,FSSAI466296,None,2025-02-22,1,1
SKU01380,FSSAI295910,State,2027-03-13,1,1
SKU00761,FSSAI583484,Central,2026-01-15,0,1
SKU01321,FSSAI872982,State,2026-12-03,1,0
SKU01754,FSSAI729236,State,2026-07-03,1,0
SKU00530,FSSAI863701,State,2026-12-22,1,0
SKU01249,FSSAI997726,State,2025-04-13,1,1
SKU01054,FSSAI166375,State,2026-12-16,1,0
SKU00930,FSSAI654020,None,2025-09-27,0,1
SKU01159,FSSAI600035,State,2026-02-08,0,1
SKU00132,FSSAI441171,State,2025-01-28,0,1
SKU01189,FSSAI842650,State,2025-01-03,1,1
SKU01750,FSSAI901378,Central,2025-04-07,1,1
SKU01153,FSSAI872048,State,2025-07-28,1,0
SKU00271,FSSAI834335,None,2027-04-22,1,1
SKU00927,FSSAI120745,None,2027-04-30,0,1
SKU01205,FSSAI525785,State,2025-05-21,0,1
SKU01024,FSSAI605705,State,2027-01-06,1,1
SKU00424,FSSAI616956,None,2025-01-31,1,1
