sku,batch,current_stock,avg_daily_sales,days_of_supply,reorder_lead_days,last_restock_date
SKU01266,BATCH2824,666,30.67,21.72,14,2025-10-21
SKU00091,BATCH1409,158,21.06,7.5,10,2025-04-25
SKU01866,BATCH5506,3866,15.24,253.67,21,2025-07-30
SKU01916,BATCH5012,2475,16.92,146.28,7,2025-09-23
SKU00644,BATCH4657,1752,1.12,1564.29,10,2025-08-05
SKU01292,BATCH3286,4374,26.09,167.65,7,2025-10-05
SKU01272,BATCH2679,4382,28.76,152.36,10,2025-02-16
SKU01594,BATCH9935,4712,20.36,231.43,21,2025-04-12
SKU01128,BATCH2424,2103,39.92,52.68,30,2025-07-26
SKU00478,BATCH7912,505,21.79,23.18,21,2025-08-27
SKU01339,BATCH1520,3028,27.35,110.71,10,2025-10-02
SKU01822,BATCH1488,2976,15.72,189.31,21,2025-03-13
SKU00137,BATCH2535,2314,45.73,50.6,14,2025-03-27
SKU01147,BATCH4582,1700,5.7,298.25,10,2025-06-03
SKU00443,BATCH4811,4262,14.39,296.18,14,2025-08-19
SKU01673,BATCH9279,1957,20.45,95.7,10,2025-03-06
SKU00204,BATCH1434,4516,2.03,2224.63,14,2025-03-13
SKU00232,BATCH4257,3693,17.03,216.85,21,2025-08-18
SKU00452,BATCH9928,4282,21.91,195.44,14,2025-01-25
SKU00916,BATCH7873,2666,45.86,58.13,30,2025-05-17
SKU00946,BATCH4611,3922,19.17,204.59,14,2025-10-21
SKU00792,BATCH8359,4984,14.99,332.49,21,2025-10-26
SKU00290,BATCH5557,4728,31.37,150.72,30,2025-09-09
SKU00195,BATCH1106,3391,47.7,71.09,7,2025-05-16
SKU01092,BATCH3615,509,9.05,56.24,10,2025-07-17
SKU00316,BATCH7924,7,27.94,0.25,10,2025-03-04
SKU01959,BATCH6574,3828,18.82,203.4,7,2025-01-27
SKU01136,BATCH5552,2453,46.29,52.99,7,2025-01-22
SKU00218,BATCH3547,4029,40.46,99.58,10,2025-07-19
SKU00711,BATCH4527,270,32.65,8.27,14,2025-01-21
SKU01173,BATCH6514,2088,43.39,48.12,14,2025-04-17
SKU00943,BATCH2674,3154,30.01,105.1,30,2025-10-03
SKU00086,BATCH2519,2247,12.87,174.59,21,2025-02-06
SKU00039,BATCH7224,3543,33.74,105.01,21,2025-10-23
SKU01236,BATCH2584,1641,17.02,96.42,21,2025-08-22
SKU00101,BATCH6881,3356,25.47,131.76,7,2025-08-12
SKU00469,BATCH6635,3313,33.5,98.9,10,2025-02-21
SKU01586,BATCH5333,349,24.88,14.03,30,2025-07-11
SKU00106,BATCH1711,1508,8.94,168.68,7,2025-04-09
SKU01014,BATCH8527,4845,2.98,1625.84,7,2025-05-06
SKU00450,BATCH9785,3931,19.61,200.46,14,2025-10-19
SKU00361,BATCH3045,4930,13.2,373.48,21,2025-08-10
SKU01376,BATCH7201,4670,12.81,364.56,21,2025-03-30
SKU00332,BATCH2291,46,15.71,2.93,7,2025-03-08
SKU00735,BATCH5803,4561,4.86,938.48,14,2025-04-30
SKU00608,BATCH6925,707,27.51,25.7,30,2025-01-30
SKU01484,BATCH4150,4899,27.43,178.6,7,2025-02-25
SKU01846,BATCH2139,3198,45.3,70.6,14,2025-08-05
SKU01867,BATCH1750,858,15.54,55.21,14,2025-09-05
SKU00639,BATCH4733,3744,10.59,353.54,7,2025-02-12
SKU00527,BATCH5741,2623,23.92,109.66,14,2025-05-06
SKU00648,BATCH2307,3744,13.98,267.81,21,2025-07-23
SKU01491,BATCH4814,3596,21.83,164.73,10,2025-07-05
SKU01927,BATCH2654,547,24.92,21.95,7,2025-03-12
